run_num,metric,distance
0,three_gram_distance,0.4300052826201796
0,two_gram_distance,0.27194982896237174
0,absolute_event_distribution,600.9018235837789
0,relative_event_distribution,298.93300897270285
0,circadian_event_distribution,5.06637512740285
0,arrival_event_distribution,866.6762589928056
0,cycle_time_distribution,813.5395683453237
1,three_gram_distance,0.44065556436690456
1,two_gram_distance,0.2850213980028531
1,absolute_event_distribution,619.4889533627854
1,relative_event_distribution,275.61580990736206
1,circadian_event_distribution,4.9650098291656874
1,arrival_event_distribution,866.6762589928056
1,cycle_time_distribution,736.1294964028777
2,three_gram_distance,0.4181433483205501
2,two_gram_distance,0.2646303168712532
2,absolute_event_distribution,622.2878236940255
2,relative_event_distribution,296.0177070618133
2,circadian_event_distribution,4.906119768233411
2,arrival_event_distribution,866.6762589928056
2,cycle_time_distribution,834.5467625899279
3,three_gram_distance,0.44141761438772814
3,two_gram_distance,0.27319440479588925
3,absolute_event_distribution,607.0147939502716
3,relative_event_distribution,296.78465621435583
3,circadian_event_distribution,4.981297369363378
3,arrival_event_distribution,866.6762589928056
3,cycle_time_distribution,840.9064748201439
4,three_gram_distance,0.4429175475687104
4,two_gram_distance,0.2875071306332002
4,absolute_event_distribution,626.8976443496081
4,relative_event_distribution,276.26598087438515
4,circadian_event_distribution,5.098837660855335
4,arrival_event_distribution,870.0215827338129
4,cycle_time_distribution,725.8776978417267
5,three_gram_distance,0.43830911492734476
5,two_gram_distance,0.2808668377530653
5,absolute_event_distribution,624.9510476074212
5,relative_event_distribution,235.60467820497473
5,circadian_event_distribution,4.932288550868763
5,arrival_event_distribution,864.6978417266187
5,cycle_time_distribution,564.9712230215828
6,three_gram_distance,0.4439746300211416
6,two_gram_distance,0.2932116371933828
6,absolute_event_distribution,637.6875343552355
6,relative_event_distribution,250.70465156924922
6,circadian_event_distribution,5.05289378088855
6,arrival_event_distribution,876.8776978417266
6,cycle_time_distribution,575.0
7,three_gram_distance,0.4378635642517187
7,two_gram_distance,0.2796803652968037
7,absolute_event_distribution,604.9113446087542
7,relative_event_distribution,287.15148265362757
7,circadian_event_distribution,4.803860147928814
7,arrival_event_distribution,867.2446043165467
7,cycle_time_distribution,801.0431654676258
8,three_gram_distance,0.4499868039060438
8,two_gram_distance,0.28966106522358304
8,absolute_event_distribution,612.7031298110433
8,relative_event_distribution,316.37918201732555
8,circadian_event_distribution,5.030489909249367
8,arrival_event_distribution,879.5107913669065
8,cycle_time_distribution,905.7122302158273
9,three_gram_distance,0.44088865379529224
9,two_gram_distance,0.2840422495004282
9,absolute_event_distribution,618.1934409965996
9,relative_event_distribution,269.4178281271886
9,circadian_event_distribution,4.787130787256232
9,arrival_event_distribution,874.3525179856114
9,cycle_time_distribution,751.9784172661869
