run_num,metric,distance
0,three_gram_distance,0.9406688241639698
0,two_gram_distance,0.9134948096885813
0,absolute_event_distribution,7233.174385416469
0,relative_event_distribution,7077.855375669689
0,circadian_event_distribution,2.5097919400487156
0,arrival_event_distribution,62.04225352112676
0,cycle_time_distribution,11024.30985915493
1,three_gram_distance,0.9486219292989815
1,two_gram_distance,0.9242997728993188
1,absolute_event_distribution,9835.433632800718
1,relative_event_distribution,9683.754451235704
1,circadian_event_distribution,2.6078655155274792
1,arrival_event_distribution,71.56338028169014
1,cycle_time_distribution,16966.225352112677
2,three_gram_distance,0.9382912876301228
2,two_gram_distance,0.9059024807527801
2,absolute_event_distribution,6959.189248029124
2,relative_event_distribution,6782.539111678778
2,circadian_event_distribution,2.4610864620373807
2,arrival_event_distribution,60.845070422535194
2,cycle_time_distribution,11146.267605633799
3,three_gram_distance,0.9374428388512895
3,two_gram_distance,0.9093773165307635
3,absolute_event_distribution,7210.3146334897265
3,relative_event_distribution,7032.676650106185
3,circadian_event_distribution,2.549637587932684
3,arrival_event_distribution,68.36619718309859
3,cycle_time_distribution,13399.366197183099
4,three_gram_distance,0.9230363732208751
4,two_gram_distance,0.8861179492668307
4,absolute_event_distribution,5134.127036480988
4,relative_event_distribution,5083.439996341719
4,circadian_event_distribution,2.312457547348031
4,arrival_event_distribution,57.50704225352112
4,cycle_time_distribution,8454.549295774646
5,three_gram_distance,0.9260298686980054
5,two_gram_distance,0.8956786985256736
5,absolute_event_distribution,5812.507745734608
5,relative_event_distribution,5708.369857039276
5,circadian_event_distribution,2.3094305237122073
5,arrival_event_distribution,50.05633802816901
5,cycle_time_distribution,10496.225352112679
6,three_gram_distance,0.9390532544378698
6,two_gram_distance,0.9111822364472895
6,absolute_event_distribution,5966.076024521167
6,relative_event_distribution,5907.134034858563
6,circadian_event_distribution,2.485058032670422
6,arrival_event_distribution,33.38028169014084
6,cycle_time_distribution,11897.028169014082
7,three_gram_distance,0.934699618243922
7,two_gram_distance,0.9023644516918059
7,absolute_event_distribution,5574.402549445832
7,relative_event_distribution,5531.269138017783
7,circadian_event_distribution,2.4110223799320485
7,arrival_event_distribution,60.66197183098591
7,cycle_time_distribution,10803.704225352114
8,three_gram_distance,0.9366209411356138
8,two_gram_distance,0.909985935302391
8,absolute_event_distribution,6783.121278247609
8,relative_event_distribution,6760.560691997909
8,circadian_event_distribution,2.3693399441755716
8,arrival_event_distribution,68.71830985915491
8,cycle_time_distribution,12348.690140845069
9,three_gram_distance,0.9412581861480452
9,two_gram_distance,0.9118357487922706
9,absolute_event_distribution,6422.46466122673
9,relative_event_distribution,6330.967927397636
9,circadian_event_distribution,2.5255584883158386
9,arrival_event_distribution,60.01408450704225
9,cycle_time_distribution,11378.295774647884
