run_num,metric,distance
0,three_gram_distance,0.6825097051725947
0,two_gram_distance,0.5160256410256411
0,absolute_event_distribution,3154.685501220629
0,relative_event_distribution,324.92861738378593
0,circadian_event_distribution,1.6293574813037046
0,cycle_time_distribution,1547.5346957463478
1,three_gram_distance,0.6686384445244586
1,two_gram_distance,0.502787550744249
1,absolute_event_distribution,3175.81607832403
1,relative_event_distribution,332.4735677767367
1,circadian_event_distribution,1.5076126993706047
1,cycle_time_distribution,1566.1687196780924
2,three_gram_distance,0.6831909452032432
2,two_gram_distance,0.534087645741198
2,absolute_event_distribution,3162.003360951474
2,relative_event_distribution,354.7653527091242
2,circadian_event_distribution,1.7156359010729725
2,cycle_time_distribution,1594.5807278138286
3,three_gram_distance,0.6617278570650398
3,two_gram_distance,0.5169043238270469
3,absolute_event_distribution,3160.998578183037
3,relative_event_distribution,345.46423428002726
3,circadian_event_distribution,1.6753071321290418
3,cycle_time_distribution,1586.7696371496743
4,three_gram_distance,0.6677339772190436
4,two_gram_distance,0.5121924246613215
4,absolute_event_distribution,3174.2024607998746
4,relative_event_distribution,352.6552702984364
4,circadian_event_distribution,1.7001879576892995
4,cycle_time_distribution,1584.1332358923332
5,three_gram_distance,0.6855989538916368
5,two_gram_distance,0.547133489743127
5,absolute_event_distribution,3164.775882496198
5,relative_event_distribution,355.37569000582226
5,circadian_event_distribution,1.906389218157187
5,cycle_time_distribution,1600.7582524015388
6,three_gram_distance,0.6697539321532306
6,two_gram_distance,0.5265320293964469
6,absolute_event_distribution,3169.030169542513
6,relative_event_distribution,348.5312545553899
6,circadian_event_distribution,1.584535016804922
6,cycle_time_distribution,1595.1474646262755
7,three_gram_distance,0.6684342729556237
7,two_gram_distance,0.5323617912561213
7,absolute_event_distribution,3162.0595662994533
7,relative_event_distribution,365.73651273440106
7,circadian_event_distribution,1.6043321483100563
7,cycle_time_distribution,1622.23047731415
8,three_gram_distance,0.6801250907466354
8,two_gram_distance,0.543592467977097
8,absolute_event_distribution,3167.786289664845
8,relative_event_distribution,363.28660637381563
8,circadian_event_distribution,1.8124822097101623
8,cycle_time_distribution,1612.277865337712
9,three_gram_distance,0.6693059575165183
9,two_gram_distance,0.5199169885282758
9,absolute_event_distribution,3159.3029353351735
9,relative_event_distribution,356.51484460674726
9,circadian_event_distribution,1.7207088518861724
9,cycle_time_distribution,1587.7441469363316
